,id,name,copies,deck_part
0,27204311,"Nibiru, the Primal Being",2,0
1,68304193,Kashtira Unicorn,2,0
2,32909498,Kashtira Fenrir,3,0
3,60764609,Fiendsmith Engraver,3,0
4,28803166,Lacrima the Crimson Tears,3,0
5,14558127,Ash Blossom & Joyous Spring,3,0
6,73642296,Ghost Belle & Haunted Mansion,3,0
7,52038441,Ghost Mourner & Moonlit Chill,3,0
8,59438930,Ghost Ogre & Snow Rabbit,3,0
9,97651498,Fabled Lurrie,1,0
10,97268402,Effect Veiler,3,0
11,69540484,Kashtira Birth,1,0
12,71832012,Pressured Planet Wraitsoth,3,0
13,98567237,Fiendsmith's Tract,2,0
14,97045737,Dominus Purge,3,0
15,99989863,Fiendsmith in Paradise,1,0
16,10045474,Infinite Impermanence,3,0
0,82135803,Fiendsmith's Desirae,2,1
1,93860227,Necroquip Princess,1,1
2,90448279,Divine Arsenal AA-ZEUS - Sky Thunder,1,1
3,93039339,Super Starslayer TY-PHON - Sky Crisis,1,1
4,91949988,"Gaia Dragon, the Thunder Charger",1,1
5,73542331,Kashtira Shangri-Ira,1,1
6,79559912,D/D/D Wave High King Caesar,1,1
7,38495396,Constellar Ptolemy M7,1,1
8,32991300,Fiendsmith's Agnumday,1,1
9,29301450,S:P Little Knight,1,1
10,49867899,Fiendsmith's Sequence,1,1
11,71818935,Moon of the Closed Heaven,1,1
12,2463794,Fiendsmith's Requiem,2,1
0,31149212,Kashtira Riseheart,1,2
1,84192580,Mulcharmy Purulia,3,2
2,41420027,Solemn Judgment,3,2
3,40605147,Solemn Strike,3,2
4,83326048,Dimensional Barrier,3,2
5,14883228,Typhoon,2,2
