,id,name,copies,deck_part
0,32061192,Maliss P Dormouse,3,0
1,69272449,Maliss P White Rabbit,3,0
2,96676583,Maliss P Chessy Cat,2,0
3,18789533,Dotscaper,1,0
4,74652966,Code of Soul,1,0
5,48017189,EM:P Meowmine,1,0
6,91800273,Dimension Shifter,3,0
7,84192580,Mulcharmy Purulia,3,0
8,14558128,Ash Blossom & Joyous Spring,3,0
9,33854624,Bystial Magnamhut,1,0
10,6637331,Bystial Druiswurm,1,0
11,72656408,Bystial Baldrake,1,0
12,27204311,"Nibiru, the Primal Being",2,0
13,68337209,Maliss in Underground,3,0
14,57160136,Cynet Mining,3,0
15,25311006,Triple Tactics Talent,2,0
16,73628505,Terraforming,1,0
17,75500286,Gold Sarcophagus,1,0
18,24224830,Called by the Grave,1,0
19,10045474,Infinite Impermanence,3,0
20,20726052,Maliss C GWC-06,1,0
21,94722358,Maliss C MTP-07,1,0
22,57111661,Maliss C TB-11,1,0
0,21848500,Maliss Q Hearts Crypter,1,1
1,68059897,Maliss Q Red Ransom,1,1
2,95454996,Maliss Q White Binder,1,1
3,30342076,Link Decoder,1,1
4,5043010,Firewall Dragon,1,1
5,64211118,Firewall Dragon Darkfluid - Neo Tempest Terahertz,1,1
6,98978921,Link Spider,1,1
7,59859086,Splash Mage,1,1
8,86066372,Accesscode Talker,1,1
9,46947713,Transcode Talker,1,1
10,24842059,Linguriboh,1,1
11,29301450,S:P Little Knight,1,1
12,9763474,Haggard Lizardose,1,1
13,92422871,Cyberse Desavewurm,1,1
14,9940036,Mereologic Aggregator,1,1
0,42141493,Mulcharmy Fuwalos,3,2
1,27204311,"Nibiru, the Primal Being",1,2
2,6637331,Bystial Druiswurm,1,2
3,2263869,Ultimate Slayer,3,2
4,35269904,Triple Tactics Thrust,3,2
5,83326048,Dimensional Barrier,2,2
6,31849106,Different Dimension Ground,1,2
7,94423983,Simul Archfiends,1,2
