,id,name,copies,deck_part
0,19899073,Ame no Murakumo no Mitsurugi,2,0
1,55397172,Futsu no Mitama no Mitsurugi,1,0
2,18176525,"Mitsurugi no Mikoto, Saji",2,0
3,82782870,"Mitsurugi no Mikoto, Kusanagi",1,0
4,81560239,Mitsurugi Ritual,3,0
5,45171524,Mitsurugi Prayers,3,0
6,17954937,Mitsurugi Great Purification,1,0
7,14558127,Ash Blossom & Joyous Spring,3,0
8,33854624,Bystial Magnamhut,1,0
9,6637331,Bystial Druiswurm,1,0
10,94145021,Droll & Lock Bird,3,0
11,34022970,Ext Ryzeal,3,0
12,8633261,Ice Ryzeal,2,0
13,72238166,Node Ryzeal,1,0
14,35844557,Sword Ryzeal,1,0
15,42141493,Mulcharmy Fuwalos,3,0
16,85106525,Bonfire,3,0
17,24224830,Called by the Grave,1,0
18,84211599,Pot of Prosperity,1,0
19,6798031,Ryzeal Cross,1,0
20,25311006,Triple Tactics Talent,2,0
21,10045474,Infinite Impermanence,3,0
0,21044178,Abyss Dweller,1,1
1,22850702,Chaos Angel,1,1
2,45852939,Eclipse Twins,2,1
3,46772449,Evilswarm Exciton Knight,1,1
4,12014404,Gagaga Cowboy,1,1
5,9763474,Haggard Lizardose,1,1
6,11398059,King of the Feral Imps,1,1
7,9940036,Mereologic Aggregator,1,1
8,66011101,Number 60: Dugares the Timeless,1,1
9,34909328,Ryzeal Detonator,1,1
10,7511613,Ryzeal Duo Drive,2,1
11,93039339,Super Starslayer TY-PHON - Sky Crisis,1,1
12,6983839,Tornado Dragon,1,1
0,34267821,Artifact Lancea,3,2
1,87126721,Mulcharmy Meowls,3,2
2,84192580,Mulcharmy Purulia,3,2
3,27204311,"Nibiru, the Primal Being",3,2
4,41420027,Solemn Judgment,3,2
