,id,name,copies,deck_part
0,33854624,Bystial Magnamhut,1,0
1,6637331,Bystial Druiswurm,3,0
2,72656408,Bystial Baldrake,2,0
3,60242223,Bystial Saronir,2,0
4,32731036,The Bystial Lubellion,3,0
5,97651498,Fabled Lurrie,1,0
6,60764609,Fiendsmith Engraver,3,0
7,28803166,Lacrima the Crimson Tears,3,0
8,59438930,Ghost Ogre & Snow Rabbit,2,0
9,73642296,Ghost Belle & Haunted Mansion,2,0
10,42141493,Mulcharmy Fuwalos,3,0
11,14558128,Ash Blossom & Joyous Spring,3,0
12,97268402,Effect Veiler,3,0
13,27204311,"Nibiru, the Primal Being",3,0
14,98567237,Fiendsmith's Tract,2,0
15,34090915,Branded Regained,1,0
16,10045474,Infinite Impermanence,3,0
17,99989863,Fiendsmith in Paradise,1,0
0,71818935,Moon of the Closed Heaven,1,1
1,2463794,Fiendsmith's Requiem,2,1
2,49867899,Fiendsmith's Sequence,1,1
3,32991300,Fiendsmith's Agnumday,1,1
4,82135803,Fiendsmith's Desirae,2,1
5,93860227,Necroquip Princess,1,1
6,35103106,Evolzar Lars,1,1
7,38495396,Constellar Ptolemy M7,1,1
8,79559912,D/D/D Wave High King Caesar,1,1
9,90448279,Divine Arsenal AA-ZEUS - Sky Thunder,1,1
10,93039339,Super Starslayer TY-PHON - Sky Crisis,1,1
11,22850702,Chaos Angel,2,1
0,34267821,Artifact Lancea,3,2
1,32909498,Kashtira Fenrir,3,2
2,87126721,Mulcharmy Meowls,3,2
3,84192580,Mulcharmy Purulia,3,2
4,40605147,Solemn Strike,3,2
