,id,name,copies,deck_part
0,78371393,Yubel,1,0
1,90829280,Spirit of Yubel,2,0
2,4779091,Yubel - Terror Incarnate,1,0
3,81034083,Dark Beckoning Beast,2,0
4,24215921,Gruesome Grave Squirmer,1,0
5,60764609,Fiendsmith Engraver,3,0
6,28803166,Lacrima the Crimson Tears,1,0
7,97651498,Fabled Lurrie,1,0
8,41165831,Unchained Soul of Sharvara,1,0
9,62318994,Samsara D Lotus,3,0
10,14558127,Ash Blossom & Joyous Spring,3,0
11,97268402,Effect Veiler,2,0
12,94145021,Droll & Lock Bird,1,0
13,42141493,Mulcharmy Fuwalos,3,0
14,27204311,"Nibiru, the Primal Being",3,0
15,65261141,Nightmare Pain,1,0
16,93729896,Nightmare Throne,3,0
17,98567237,Fiendsmith's Tract,1,0
18,35552985,Fiendsmith's Sanct,1,0
19,80312545,Opening of the Spirit Gates,2,0
20,73628505,Terraforming,1,0
21,2295440,One for One,1,0
22,10045474,Infinite Impermanence,3,0
23,53417695,Escape of the Unchained,1,0
0,80453041,Phantom of Yubel,1,1
1,93860227,Necroquip Princess,1,1
2,28143384,Aerial Eater,1,1
3,82135803,Fiendsmith's Desirae,1,1
4,79559912,D/D/D Wave High King Caesar,1,1
5,70636044,"Varudras, the Final Bringer of the End Times",1,1
6,24269961,Unchained Soul Lord of Yama,2,1
7,67680512,Unchained Soul of Rage,1,1
8,29301450,S:P Little Knight,1,1
9,71607202,Muckraker From the Underworld,1,1
10,71818935,Moon of the Closed Heaven,1,1
11,2463794,Fiendsmith's Requiem,1,1
12,49867899,Fiendsmith's Sequence,1,1
13,98127546,Underworld Goddess of the Closed World,1,1
0,84192580,Mulcharmy Purulia,3,2
1,34267821,Artifact Lancea,3,2
2,94145021,Droll & Lock Bird,2,2
3,40975574,Red Resonator,1,2
4,24224830,Called by the Grave,1,2
5,24299458,Forbidden Droplet,3,2
6,64664373,Metaltronus,2,2
